Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
Rage Coffee,New Delhi,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,"GetVantage, Prakash Katama",2021,0.0,Pre-Series A,Agriculture and Food
Groww,Bengaluru,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Tiger Global Management, Y Combinator Continuity Fund",2021,83000000.0,Series D,Finance and FinTech
Avanti Finance,Bengaluru,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Michael & Susan Dell Foundation,2021,26000000.0,Series A,Finance and FinTech
Kudos,Pune,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Marquee fintech founders,2021,0.0,Pre-Series A,Finance and FinTech
Superpro.ai,Bengaluru,Enabling independent professionals to bring offline consulting online with AI,"SOSV, Omphalos Ventures India",2021,3000000.0,Seed Round,Media and Entertainment
WiT-ACE,Gurugram,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",CitiusTech,2021,1000000.0,Seed Round,Transportation and Mobility
Spinny,Gurugram,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Arena Holdings, Think Investments",2021,65000000.0,Series C,E-Commerce and Retail
Alteria Capital,Mumbai,Alteria Capital is a Venture debt firm .,Undisclosed,2021,150000000000.0,Debt Financing,Finance and FinTech
PumPumPum,Gurugram,Pumpumpum is a car rental company.,"Kogta Financial India Limited, ICICI Bank",2021,700000.0,Pre-Series A,Real Estate and Construction
Eunimart,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"SucSEED Venture Partners, TMT Connekt",2021,700000.0,Pre-Series A,E-Commerce and Retail
Uable,Bengaluru,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,"JAFCO Asia, Chiratae Ventures",2021,35000000.0,Pre-Series A,Education
Zoko,Bengaluru,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",Y Combinator,2021,140000000.0,Seed Round,Technology
GetWork,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Artha Venture Fund,2021,200000.0,Seed Round,Technology
Easebuzz,Pune,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,"Jitendra Gupta, Amrish Rau",2021,4000000.0,Series A,E-Commerce and Retail
DusMinute,Bengaluru,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Indian Angel Network,2021,1100000.0,Pre-Series A,E-Commerce and Retail
TartanSense,Bengaluru,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,"FMC, Omnivore, Blume Ventures",2021,5000000.0,Series A,Technology
Kirana247,New Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,Undisclosed,2021,1000000.0,Pre-Series A,Transportation and Mobility
NeoDocs,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Y Combinator, 9Unicorns, Titan Capital",2021,0.0,Pre-Seed,Healthcare and Wellness
IsGoingOnline,Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,"Unicorn India Ventures, SEA Fund, Devdatt Shah",2021,200000.0,Pre-Series A,E-Commerce and Retail
Camp K12,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions","Matrix Partners India, Elevation Capital",2021,12000000.0,Series A,Education
Elda Health,Bengaluru,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Avaana Capital, Orios Ventures",2021,1500000.0,Seed Round,Healthcare and Wellness
Sporjo,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,Punit Balan,2021,2000000.0,Pre-Series A,Media and Entertainment
SuperGaming,Pune,"At SuperGaming, building India's best gaming company.","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",2021,5500000.0,Series A,Media and Entertainment
Zetwerk,Bengaluru,ZETWERK is a universal manufacturing network powered by new-age technology.,Undisclosed,2021,150000000.0,Series E,Industrial and Manufacturing
AppsForBharat,Bengaluru,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.","Sequoia Capital India, BEENEXT",2021,4000000.0,Seed Round,Technology
Khatabook,Bengaluru,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Tribe Capital, Moore Strategic Ventures (MSV)",2021,100000000.0,Series C,Financial Services
Smytten,Gurugram,India's largest premium discovery and trial platform!,Fireside Ventures,2021,6000000.0,Series A,E-Commerce and Retail
Syook,Bengaluru,Syook is building the next generation enterprise IOT platform.,"Inflection Point Ventures, ONGC",2021,1000000.0,Series A,Industrial and Manufacturing
Akudo,Bengaluru,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Y Combinator, Incubate Fund India",2021,0.0,Pre-Seed,Finance and FinTech
NOTO,Mumbai,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",2021,500000.0,Pre-Series A,E-Commerce and Retail
Lumiq,Noida,Help enterprises monetize their data and reinvent the digital transformation journey.,Info Edge Ventures,2021,2000000.0,Seed Round,Technology
CommerceUp,Gurugram,Grow and manage ecommerce business from single dashboard,NB Ventures,2021,0.0,Seed Round,Technology
Breathe Well-being,Gurugram,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",Accel,2021,5500000.0,Series A,Healthcare and Wellness
Probus,New Delhi,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",Unicorn India Ventures,2021,500000.0,Bridge,Technology
Smart Express,Mumbai,India’s Most Innovative and Awarded Express Logistics Company.,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",2021,10000000.0,Seed Round,Transportation and Mobility
Smallcase,Bengaluru,Smallcase is a new way to invest in the stock markets.,Faering Capital,2021,40000000.0,Series C,Finance and FinTech
Postman,Bengaluru,Postman is the collaboration platform for API development.,"CRV, Nexus Venture Partners",2021,225000000.0,Series D,Technology
Hashnode,Bengaluru,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",2021,6700000.0,Series A,Technology
RACEnergy,Hyderabad,RACEnergy is working to power the future of mobility through clean and efficient technologies.,"Micelio Fund, growX ventures",2021,1300000.0,Seed Round,Transportation and Mobility
BharatPe,New Delhi,The vision to make financial inclusion a reality for Indian merchants.,"IIFL Wealth, Asset Management, Northern Arc Capital",2021,20000000.0,Debt Financing,Finance and FinTech
Gyde,Pune,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Better Capital, Ashish Achrekar",2021,250000.0,Seed Round,Technology
BatteryPool,Pune,Building the Operating System for managing Electric Vehicles in fleets.,IAN,2021,0.0,Seed Round,Transportation and Mobility
AgNext,Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Alpha Wave Incubation,2021,21000000.0,Series A,Agriculture and Food
Xpresslane,Bengaluru,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.","Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",2021,400000.0,Pre-Seed,Technology
LoanKuber,New Delhi,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Undisclosed,2021,1200000.0,Pre-Series A,Technology
OYO,Gurugram,OYO is a global travel tech company that connects its patrons and guests.,Microsoft,2021,5000000.0,Series F2,Technology
Log 9 Materials,Bengaluru,Log9 Materials is on a mission to make global energy 100% clean.,Amara Raja Batteries,2021,8500000.0,Series A,Technology
FlashPrep,Bengaluru,FlashPrep is the smart way to master learning.,Venture Highway,2021,500000.0,Pre-Seed,Education
Kenko Health,Mumbai,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","BEENEXT, Orios",2021,1700000.0,Pre-Series A,Technology
Wiz Freight,Chennai,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",Axilor,2021,3500000.0,Seed Round,Transportation and Mobility
Credgenics,New Delhi,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Westbridge Capital, Tanglin Venture Partners",2021,25000000.0,Series A,Financial Services
BlueLearn,Goa,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",2021,400000.0,Pre-Seed,Education
NimbleBox.ai,Chennai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,Venture Catalysts,2021,1000000.0,Seed Round,Technology
Pickrr,Gurugram,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"IIFL, Amicus Capital, Ananta Capital",2021,12000000.0,Series B,Transportation and Mobility
Grip Invest,Gurugram,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Venture Highway, Endiya Partners",2021,3000000.0,Series A,Financial Services
Heads Up For Tails,New Delhi,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish","Verlinvest, Sequoia Capital India",2021,37000000.0,Series A,Healthcare and Wellness
Blue Tokai Coffee Roasters,New Delhi,"Source, roast, and brew India's best single-origin Arabica coffee.",Anicut Angel Fund,2021,2000000.0,Pre-Series A,Agriculture and Food
Neeman,Hyderabad,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Sixth Sense Ventures,2021,2000000.0,Series A,E-Commerce and Retail
BharatPe,New Delhi,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",Tiger Global,2021,370000000.0,Series E,Finance and FinTech
GoSats,Bengaluru,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",2021,700000.0,Seed Round,Finance and FinTech
StockGro,Bengaluru,Making Investment Social- India's First Social Trading Platform,"Roots Ventures, Velo Partners",2021,5000000.0,Pre-Series A,Finance and FinTech
Onsurity,Bengaluru,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!",Nexus Venture Partners,2021,16000000.0,Series A,Healthcare and Wellness
Khabri,Gurugram,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,Undisclosed,2021,2000000.0,Pre-Series A,Media and Entertainment
AyuRythm,Bengaluru,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,SucSEED Indovation Fund,2021,0.0,Seed Round,Healthcare and Wellness
Enguru,Bengaluru,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,"Potencia Ventures, Bisk Ventures, LetsVenture, Ronnie Screwvala, Arihant Patni",2021,0.0,Pre-Series A,Education
Rocket Skills,Gurugram,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Better Capital, First Cheque, Titan Capital",2021,200000.0,Pre-Seed,Education
RenewBuy,Gurugram,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Evolvence Capital,2021,10000000.0,Series C,Finance and FinTech
Faarms,Bengaluru,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,Undisclosed,2021,2000000.0,Seed Round,Agriculture and Food
Jupiter,Mumbai,"A digital banking experience that keeps pace with you, and helps master money too.","Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",2021,44000000.0,Series B,Finance and FinTech
Pixuate,Bengaluru,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.",SucSEED Indovation Fund,2021,1000000.0,Seed Round,Technology
Playo,Bengaluru,Playo is a one stop destination app for all things sports,ah! Ventures High Tables,2021,500000.0,Pre-Series A,Media and Entertainment
Toothsi,Mumbai,India’s first and largest at home smile makeover service using invisible aligners.,"Eight Roads Ventures, Think Investments, Mankekar Family Office",2021,20000000.0,Series B,Healthcare and Wellness
Soothe Healthcare,New Delhi,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",A91 Partners,2021,10000000.0,Series C,E-Commerce and Retail
Goodmeetings,Bengaluru,AI-Based Platform Built Exclusively for Remote Selling,Chiratae Ventures,2021,1700000.0,Series A,Technology
Apnaklub,Bengaluru,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,Sequoia’s Surge,2021,3500000.0,Seed Round,Wholesale
ChefKart,Gurugram,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Lead Angels, Titan Capital, Pravega Ventures",2021,300000.0,Pre-Seed,E-Commerce and Retail
Fashinza,Gurugram,A new-age supply chain and product development platform for the fashion industry.,"Accel Partners, Elevation Capital",2021,20000000.0,Series A,Consumer Goods
Fabheads,Chennai,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,"Inflection Point Ventures, Rockstud Capital, FirstPort Capital, Bliss Flow Investments Pvt Ltd",2021,0.0,Pre-Series A,Industrial and Manufacturing
QuickShift,Pune,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support","Anicut Angel Fund, Axilor Ventures",2021,770000.0,Seed Round,Transportation and Mobility
MedPrime Technologies,Thane,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Mumbai Angels Network, Social Alpha",2021,0.0,Seed Round,Healthcare and Wellness
infra.market,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,Tiger Global,2021,125000000.0,Series D,Real Estate and Construction
CollegeDekho,Gurgaon,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals","Disrupt ADQ, QIC",2021,35000000.0,Series B,Education
Simpl,Bengaluru,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Valar Ventures, IA Ventures",2021,40000000.0,Series B,E-Commerce and Retail
PayGlocal,Bengaluru,PayGlocal is a FinTech solving for global payments acceptance,Sequoia Capital India,2021,4900000.0,Series A,Financial Services
Pocket FM,Bengaluru,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Lightspeed, Times Group, Tanglin Venture Partners",2021,22000000.0,Series B,OTT
PlanetSpark,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",2021,13000000.0,Series B,Education
LenDenClub,Mumbai,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",2021,10000000.0,Series A,Financial Services
CometChat,Mumbai,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",Signal Peak Ventures,2021,10000000.0,Series A,Technology
AgroStar,Pune,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.","Evolvence, Hero Enterprise",2021,70000000.0,Series D,Agriculture and Food
Bizongo,Mumbai,Bizongo is India’s largest B2B platform for made-to-order products.,Tiger Global,2021,100000000.0,Series D,Technology
MoEngage,Bengaluru,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,Steadview Capital,2021,30000000.0,Series D,Technology
CloudSEK,Bengaluru,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,MassMutual Ventures,2021,7000000.0,Series A,Technology
Exponent Energy,Bengaluru,Simplifying energy for EVs by building a Flexible Energy Stack.,YourNest VC,2021,5000000.0,Pre-Series A,Transportation and Mobility
Trinkerr,Bengaluru,Trinkerr is India's first social trading platform.,Accel India,2021,6600000.0,Series A,Technology
Zorro,Gurugram,Pseudonymous social network platform,"Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",2021,32000000.0,Seed Round,Social network
Ultraviolette,Bengaluru,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"TVS Motor, Zoho",2021,150000000.0,Series C,Transportation and Mobility
NephroPlus,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",IIFL Asset Management,2021,24000000.0,Series E,Healthcare and Wellness
Unremot,Bengaluru,Unremot is a personal office for consultants!,Inflection Point Ventures,2021,700000.0,Seed Round,Technology
FanAnywhere,Bengaluru,Celebrity NFT platform,"Oasis Capital, Scorpio VC, DeltaHub Capital",2021,0.0,Seed Round,Financial Services
Spry,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"9Unicorns, Ashneer Grover",2021,1500000.0,Seed Round,Media and Entertainment
Enmovil,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,Anicut Angel Fund,2021,1300000.0,Pre-Series A,Technology
ASQI Advisors,Mumbai,Bringing Blockchain technology intro mainstream finance!,Founders Room Capital,2021,1000000.0,Pre-Series A,Financial Services
Insurance Samadhan,New Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,"9Unicorns, ZNL",2021,725000.0,Pre-Series A,Finance and FinTech
MasterChow,New Delhi,A ready-to-cook Asian cuisine brand,WEH Ventures,2021,461000.0,Seed Round,Hauz Khas
Pristyn Care,Gurugram,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",2021,96000000.0,Series E,Healthcare and Wellness
Plix,Mumbai,Plant-based nutraceutical firm,"Guild Capital, RPSG Capital Ventures",2021,5000000.0,Series A,Healthcare and Wellness
Uni Cards,Bengaluru,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","General Catalyst, Eight Roads Ventures, Elevation Capital",2021,70000000.0,Series A,Financial Services
Nestasia,Kolkata,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Varun Alagh, Sahil Barua",2021,4000000.0,Series A,E-Commerce and Retail
Vedic Cosmeceuticals,Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Sixth Sense Ventures,2021,32000000.0,Series A,Cosmetics
Juspay,Bengaluru,Enable frictionless payments for the billion Indians.,SoftBank Vision Fund 2,2021,60000000.0,Series C,Finance and FinTech
TranZact,Mumbai,A mission to digitize millions of Indian SMEs so they can grow better.,"Tribe Capital, Prime Venture Partners",2021,7000000.0,Series A,Technology
Mohalla Tech,Bengaluru,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",Alkeon Capital,2021,266000000.0,Series G,Media and Entertainment
Stack,Bengaluru,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Y Combinator, Harvard Management",2021,4500000.0,Seed Round,Financial Services
WeSkill,Gurugram,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shrishti Sahu, Umang Vohra",2021,4000000.0,Pre-Seed,Education
ByteLearn,Noida,AI powered teaching assistant for 100 Mn teachers across the world,"Aditya Singhal, Nishant Sinha",2021,9500000.0,Seed Round,Education
Dista,Pune,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,Pentathlon Ventures,2021,1200000.0,Seed Round,Technology
Bizongo,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,Tiger Global,2021,100000000.0,Series D,E-Commerce and Retail
FRND,Bengaluru,FRND is an audio dating app for Bharat,KRAFTON,2021,6500000.0,Series A,Media and Entertainment
Metadome,Bengaluru,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Chiratae Ventures, Lenskart Vision Fund",2021,4000000.0,Pre-Series A,Technology
Yodacart,Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Ajith Daneil,2021,225000.0,Pre-Seed,E-Commerce and Retail
Jumbotail,Bengaluru,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",Invus,2021,85000000.0,Series C,E-Commerce and Retail
Captain Fresh,Bengaluru,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,"Tiger Global, Prosus Ventures",2021,40000000.0,Series B,Transportation and Mobility
Kohbee,Bengaluru,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Ankit Mehrotra, Saurabh Aggarwal",2021,235000.0,Pre-Seed,Education
Perfora,Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",Sauce.vc,2021,260000.0,Pre-Seed,E-Commerce and Retail
Unbox Robotics,Pune,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"3one4 Capital, Sixth Sense Ventures",2021,7000000.0,Series A,Transportation and Mobility
Ninety One,Ahmedabad,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",A91 Partners,2021,30000000.0,Series A,E-Commerce and Retail
Gobillion,New Delhi,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"YCombinator, Justin Mateen, Pioneer Fund",2021,2900000.0,Seed Round,E-Commerce and Retail
