Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount($),Stage,Sector
ORAI,Bengaluru,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,2021,400000.0,Pre-Series A,Technology
ixamBee,New Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha",2021,300000.0,Seed Round,Education
CoinSwitch Kuber,Bengaluru,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah",2021,25000000.0,Series B,Finance and FinTech
Razorpay,Bengaluru,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC",2021,160000000.0,Series E,Finance and FinTech
Uable,Bengaluru,Uable offers role based programmes to empower children to explore different domains.,"Chiratae Ventures, JAFCO Asia",2021,0.0,Seed Round,Education
ZFW Hospitality,New Delhi,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO",2021,150000.0,Pre-Seed,Agriculture and Food
Optimized Electrotech,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,2021,1800000.0,Pre-Series A,Aeorspace
Northern Arc,Chennai,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Kotak Mahindra Bank, FMO",2021,5000000.0,Undisclosed,Finance and FinTech
Chara,Bengaluru,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,2021,850000.0,Seed Round,Technology
Sirona Hygiene,New Delhi,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund",2021,3000000.0,Series A,Healthcare and Wellness
Pristyn Care,Gurugram,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures",2021,53000000.0,Series D,Healthcare and Wellness
